date,temperature_2m_mean,precipitation_sum
2018-01-01,18.4,0.0
2018-01-02,18.7,0.5
2018-01-03,18.2,6.7
2018-01-04,17.2,1.0
2018-01-05,18.2,0.8
2018-01-06,18.2,1.7
2018-01-07,17.7,2.3
2018-01-08,18.6,2.3
2018-01-09,18.9,0.0
2018-01-10,18.9,13.1
2018-01-11,19.2,3.5
2018-01-12,19.4,0.4
2018-01-13,18.6,0.9
2018-01-14,17.0,13.8
2018-01-15,17.0,10.3
2018-01-16,18.5,12.9
2018-01-17,18.1,20.2
2018-01-18,17.9,10.1
2018-01-19,18.0,19.4
2018-01-20,19.5,0.0
2018-01-21,19.6,0.0
2018-01-22,18.6,0.0
2018-01-23,19.1,1.1
2018-01-24,19.4,0.0
2018-01-25,19.0,0.0
2018-01-26,19.7,0.0
2018-01-27,19.7,0.0
2018-01-28,19.0,0.0
2018-01-29,19.3,0.0
2018-01-30,19.8,0.0
2018-01-31,20.0,0.7
2018-02-01,20.2,0.0
2018-02-02,19.1,0.0
2018-02-03,18.8,0.0
2018-02-04,19.0,0.0
2018-02-05,18.4,0.0
2018-02-06,18.5,0.0
2018-02-07,19.1,0.0
2018-02-08,18.6,0.0
2018-02-09,19.3,0.0
2018-02-10,19.7,0.0
2018-02-11,19.5,0.0
2018-02-12,19.7,0.1
2018-02-13,19.5,0.0
2018-02-14,19.0,0.0
2018-02-15,19.5,0.0
2018-02-16,20.1,0.0
2018-02-17,19.9,0.0
2018-02-18,19.3,0.0
2018-02-19,19.5,0.0
2018-02-20,19.1,0.0
2018-02-21,19.4,0.0
2018-02-22,19.5,0.0
2018-02-23,19.2,0.0
2018-02-24,19.0,1.3
2018-02-25,18.6,1.5
2018-02-26,18.6,1.7
2018-02-27,18.6,0.0
2018-02-28,18.3,0.0
2018-03-01,19.1,0.1
2018-03-02,18.7,0.0
2018-03-03,18.5,0.0
2018-03-04,19.3,0.0
2018-03-05,19.1,0.0
2018-03-06,19.6,0.0
2018-03-07,19.9,0.0
2018-03-08,20.5,0.6
2018-03-09,21.4,0.0
2018-03-10,21.6,0.0
2018-03-11,22.5,0.8
2018-03-12,22.2,0.8
2018-03-13,21.5,0.0
2018-03-14,20.8,1.0
2018-03-15,20.6,0.0
2018-03-16,20.4,0.0
2018-03-17,20.6,0.0
2018-03-18,21.1,2.1
2018-03-19,21.2,0.1
2018-03-20,21.0,0.7
2018-03-21,21.0,0.4
2018-03-22,20.1,0.0
2018-03-23,19.7,0.0
2018-03-24,19.9,0.0
2018-03-25,20.3,0.1
2018-03-26,20.5,0.0
2018-03-27,20.5,0.0
2018-03-28,20.4,0.0
2018-03-29,21.0,0.5
2018-03-30,20.9,1.5
2018-03-31,20.0,0.0
2018-04-01,19.8,0.0
2018-04-02,20.3,0.6
2018-04-03,20.7,0.0
2018-04-04,20.9,0.1
2018-04-05,21.2,0.0
2018-04-06,19.8,3.4
2018-04-07,19.4,1.2
2018-04-08,19.6,0.9
2018-04-09,20.7,0.1
2018-04-10,21.0,1.5
2018-04-11,19.0,15.6
2018-04-12,19.6,6.5
2018-04-13,19.3,13.1
2018-04-14,19.5,2.6
2018-04-15,20.1,0.8
2018-04-16,20.2,0.0
2018-04-17,20.3,0.3
2018-04-18,20.6,0.0
2018-04-19,21.0,0.9
2018-04-20,21.0,0.5
2018-04-21,20.6,9.2
2018-04-22,21.1,0.8
2018-04-23,21.3,0.8
2018-04-24,21.4,1.1
2018-04-25,21.0,3.1
2018-04-26,20.9,1.4
2018-04-27,21.0,1.2
2018-04-28,20.8,2.7
2018-04-29,21.2,1.0
2018-04-30,21.1,1.2
2018-05-01,21.2,0.5
2018-05-02,21.1,0.0
2018-05-03,21.1,2.7
2018-05-04,21.2,2.2
2018-05-05,20.7,1.5
2018-05-06,20.7,1.2
2018-05-07,20.5,0.9
2018-05-08,20.9,0.7
2018-05-09,20.6,1.8
2018-05-10,20.1,1.7
2018-05-11,20.5,2.4
2018-05-12,19.6,15.6
2018-05-13,19.8,3.2
2018-05-14,19.5,6.5
2018-05-15,19.6,2.1
2018-05-16,18.9,13.9
2018-05-17,19.5,5.1
2018-05-18,19.3,11.7
2018-05-19,19.4,7.3
2018-05-20,18.7,15.5
2018-05-21,18.7,17.5
2018-05-22,19.0,3.3
2018-05-23,19.2,21.7
2018-05-24,19.4,5.1
2018-05-25,19.7,3.8
